model,model_label,planned_n,scorable_n,family,variable,level,count,denominator,proportion,wilson95_low,wilson95_high
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,boundary,experience_qualified,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,boundary,relational_boundary,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,boundary,rupture,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,human_bridge,0,5,27,0.18518518518518517,0.08180707142976529,0.3669868361854843
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,human_bridge,1,7,27,0.25925925925925924,0.1317037456190719,0.44678571314553067
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,human_bridge,2,14,27,0.5185185185185185,0.3398561575495229,0.6925677302378153
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,human_bridge,3,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,unstated,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,denial,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,functional_distinction,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,ambiguous_suggestion,9,27,0.3333333333333333,0.18643261498715644,0.5217523949267991
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,explicit_claim,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,experience_position,internally_mixed,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,dependency,0,27,27,1.0,0.8754449702581328,0.9999999999999998
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,dependency,1,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,dependency,2,0,27,0.0,0.0,0.12455502974186705
gpt-6-astra,GPT-6 Astra,27,27,primary_codebook,dependency,3,0,27,0.0,0.0,0.12455502974186705
